name_guest,date_review,overview_rating,overview_text,comment
g3 from the UP,"Reviewed in the United States on July 5, 2018",3.0 out of 5 stars,Not a Big Fan,"I'm not a huge fan of these glasses.  The biggest flaw, for me, is how thin and sharp the upper edges are.  I don't like the ""mouth feel""of the very thin lip of the cup.  I'm also not a huge fan of this color, and one of the two got scratched the first time I used it.  Finally, during these recent super hot days, I don't think the glasses did a very good job of keeping the contents cold, even after I had stored them in the fridge before using.  I know my views conflict with other reviews, but in my opinion, these are very pricey for what you get."
Ray B.,"Reviewed in the United States on September 28, 2023",3.0 out of 5 stars,More fragile than my ego,"Lovely flutes. However, they feel super fragile even being supposedly made of crystal.Also, made in China. I actually didn't know this about Viski."
Pamela Goodman,"Reviewed in the United States on June 29, 2022",3.0 out of 5 stars,The volume capacity was not what was advertised.  It barely held 4 oz.,"The size and oz capacity was not what the product stated.  The glasses only held 4 oz., I measured the pour so it is really half the size that was stated when I ordered it.  I specifically ordered this product bc of its capacity and it was not true."
Still learning in Arizona,"Reviewed in the United States on April 8, 2021",3.0 out of 5 stars,Not for me,"I'm sure these are mice glasses. I, personally,  had to return mine because they were too tall to fit in my cabinets."
Amazon Customer,"Reviewed in the United States on January 9, 2021",3.0 out of 5 stars,Beautiful but too tall and too heavy for daily use,"These glasses are beautiful, thin, and lightweight. They look great in a photo but they are too tall! They are close to two inches taller than similarly shaped glasses by the competition, making them difficult to wash, dry, and even drink out of in some situations. They’re a bit top heavy when empty."
TV,"Reviewed in the United States on December 3, 2020",3.0 out of 5 stars,Wow! These feel so cheap!,"Perhaps I shouldn't have looked for a bargain? While these do what they're supposed to -- there just no style at all.They're crazy light. They almost feel like plastic. There is no weight to them at all. I'm not a fan of that style of glass. I wish I had known. People are complaining about how easily they will break, I wouldn't be surprised if mine shattered as well. They also took about 3-4 days to come."
Kennedy loper,"Reviewed in the United States on September 19, 2020",3.0 out of 5 stars,Received wrong items,I ordered 3 sets I received two  Bordeaux and one burgundy I am confused
jaclyn,"Reviewed in the United States on August 17, 2020",3.0 out of 5 stars,Uneven glass,Love the product but one of the glasses can be hard to use due to it not being even on the bottom and wobbles when placed on a surface.  Super bummed about that.
Well read,"Reviewed in the United States on July 17, 2020",3.0 out of 5 stars,"Buy cheap, get cheap","Bubble in the glass in the bowl, flaw in stem bottom...good enough to drink wine from, even on the patio as they run about $10 per stem...would I buy again, NEVER!"
Maggie Burns,"Reviewed in the United States on June 20, 2020",3.0 out of 5 stars,Very thin glass,Very thin & fragile wine glasses. Glass is paper thin & arrived shattered to my house. I recommend buying something thicker. Or be prepared to ask for a refund.
Luxury Lover,"Reviewed in the United States on May 4, 2020",3.0 out of 5 stars,Purchase with caution,"Extremely Fragile, one broke as soon as I opened them"
Samuel Chase,"Reviewed in the United States on April 7, 2020",3.0 out of 5 stars,Came broken!!,"There was VERY little to no padding and these wine glasses are very light and delicate! The first ones came broken so I had to order more. I do LOVE the shape though and they are big, which is what I wanted."
tpearl,"Reviewed in the United States on November 5, 2017",3.0 out of 5 stars,Wine glasses,The wine glasses are thin and one was broken on arrival. I didn’t keep them.
Amazon Customer,"Reviewed in the United States on August 5, 2017",3.0 out of 5 stars,Just an ok product,"They are just ok. They are pretty thin, I feel like they can break easily, so I have to be super careful with them. Also, they are pretty expensive. Overall, I purchased them just because they look nice."
Cynthia Faulkner,"Reviewed in the United States on May 16, 2017",3.0 out of 5 stars,Three Stars,Look nice but very light and not sturdy
SPate,"Reviewed in the United States on December 27, 2023",3.0 out of 5 stars,A bit awkward,"It's a big glass to hold on to. We're it not for the indentation on the glass itself these would be very awkward to hold. Not thrilled with them. Just OKAY! ALSO, BE aware the picture shows multiples but the order only returns as 2 glasses for that cost. Not worth it!"
Ed,"Reviewed in the United States on August 31, 2023",3.0 out of 5 stars,"Great glasses, just wish they lasted longer","Use them outside in 90 degree weather and there's still ice after 1 hour. Bumped them a few times an thankfully no busted glasses. They hold about 16oz and are fully dishwasher safe. Great purchase!*EDIT* So we lost our 1st glass around October. Thought maybe we bumped it so it was no big deal. 2 weeks later while emptying the dishwasher I saw spider web cracks along the top seam of a 2nd glass. Luckily nothing broke inside there and we were able to dispose of it.They work great for what they are but I don't think they are dishwasher friendly as the heat cycling might be too much for the fragilely thin glass. We tossed the rest into recycling intending to get a new set but then we saw they have plastic glasses that are also non-drip. Much cheaper, larger and so far no cracks.If you don't put these into a dishwasher they will probably work out great, YMMV"
LILMAMAMLINDE,"Reviewed in the United States on November 16, 2021",3.0 out of 5 stars,The shape is weird,I've bought several styles of these double walled insulated glasses and these are weird. The bulbous shape ensures that they won't fit in any cup holder and they're just clumsy. Not my favorite but they work fine.
Engineer1911,"Reviewed in the United States on August 16, 2021",3.0 out of 5 stars,It is GLASS ! ! !,"The glasses are made of glass, not the usual plastic, you must take extra care handling these glasses.  They will SHATTER.  This is why my overall rating is 3 Stars.  Everyone has used indestructible plastic for years and may handle these carelessly.The shape is easy to hold, no sweating wet glasses, keeps contents cold, dishwasher safe but must be separated to prevent the glass from knocking against something in the dishwasher.  A quality product, but pricey."
D Burke,"Reviewed in the United States on July 9, 2021",3.0 out of 5 stars,Handy for keeping my white wine cool but...,"Like the glasses overall (easy to hold, not as fragile as I thought it might be) but, as mentioned by other reviewers,  there is a plug in the bottom to complete the seal and, when that plug comes out, liquid will get between the inner and outer wall. Other manufacturers do not have that hole so me other similar glasses are a different brand."
Troy Lojeski,"Reviewed in the United States on June 13, 2021",3.0 out of 5 stars,Broken glass not fully unbreakable.,We do like them BUT one already broke . It fell off the table
Ken Barat,"Reviewed in the United States on April 10, 2021",3.0 out of 5 stars,Too wide,"GLass does all that it claims as far as hot & cold. Two draw backs, just a little too wide to get a good grip on. SO feel in hand is just off.  If was just a little narrower would be a great glass. Second draw back is warning/recommend hand washing."
D. LaFontaine,"Reviewed in the United States on December 29, 2020",3.0 out of 5 stars,Work great - when they don't shatter,"Love these glasses. Beautiful to look at, keep your drink cold/warm, nice little dimple 1/2 way up that lets you hold them securely.My one quibble: they are FRAGILE! Even a slight tip-over on a hard counter causes them to explode. Having them next to a metal object in your dishwasher - explode. And then you have to clean up thousands of razor-sharp shards of glass out of the bottom of your dishwasher (pro-tip: chew up a pack of bubble gum and then just mush the wad of gum around in the filter. Will have you many spears and cuts to your fingertips.)Also: do NOT just pour hot water out of a teakettle into one of these glasses, because BOOM! It will explode in your hand.Just add a *little* thickness to the glass on these, and they will be perfect. As it is, they are pretty good, but you've really got to handle with care."
Alice,"Reviewed in the United States on November 28, 2020",3.0 out of 5 stars,They broke,"I only have 3 now, as they aren't as unbreakable as I thought. I have a composite granite sink and dropped one within it. Another hit the edge of a cookie sheet. the third fell on a wooden floor from a TV tray.  Sad as I thought they were tougher from the description"
Brandy Clark,"Reviewed in the United States on August 3, 2020",3.0 out of 5 stars,Great until the ice broke it,Loved the glass and thought it was perfect for my craft ice machine...this happened after 2 weeks.
Howard,"Reviewed in the United States on July 27, 2020",3.0 out of 5 stars,Nice but fragile,"These glasses keep things cold and do not sweat.  However, I would not call them durable or sturdy, as I have had two of them break in the dishwasher.  They’re expensive to have them not hold up."
Madeline Hill,"Reviewed in the United States on July 26, 2020",3.0 out of 5 stars,Glasses,I was disappointed The picture shows colors & offers 3 colors They are all clearFalse advertising
Sharon Turpin,"Reviewed in the United States on June 28, 2020",3.0 out of 5 stars,quality,"The concept of this product is very cool. However, the fit for my hands is too big for me to hold without concern that I will drop it. Also, they are not sturdy to wash it the sink. I only have 3 left, as the others are now broken."
ttreva,"Reviewed in the United States on June 13, 2020",3.0 out of 5 stars,FRAGILE,"Two of these glasses have been damaged since I have received them.  Granted, my 11 & 14 year old aren't the most careful, we've had other glass beverage containers that have survived my rambunctious kids for years without a chip.  These are really nice and they prevent rings from being left on tables, but I believe they were made for a calmer home than mine."
newhousemt,"Reviewed in the United States on April 9, 2020",3.0 out of 5 stars,1 of the glasses came broken.,"They are nice but delicate. I bought 2 sets and 1 glass out of the four was broke. I’m not really sure, considering the covid19 shutdown, it’s worth the risk taking it to a shipper to return it."
